id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
29283924,Somras,Floral Embroidered Saree,Rs. 499,Rs. 4999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29283924/2024/5/1/7de00182-fe7f-4bf8-a1f0-33cd0094aaeb1714549525925MiteraPartywearsaree1.jpg",https://www.myntra.com/sarees/somras/somras-floral-embroidered-sequinned-saree/29283924/buy
17483318,VAIRAGEE,Ombre Saree,Rs. 825,Rs. 8250,3.7,31,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17483318/2022/5/12/23879ec9-cf52-4d14-bf9d-94bf82dfdb971652355179472-VAIRAGEE-Pink-Ombre-Saree-781652355178962-1.jpg",https://www.myntra.com/sarees/vairagee/vairagee-pink-ombre-saree/17483318/buy
26512666,Mitera,Embellished Satin Saree,Rs. 1198,Rs. 11983,3.8,13,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26512666/2023/12/19/4cb7edb7-c829-4963-9921-4126c7a7f3201702972482628MiteraGold-TonedEmbellishedBeadsandStonesSatinDesignerSaree1.jpg",https://www.myntra.com/sarees/mitera/mitera-gold-toned-beads-and-stones-embellished-satin-designer-saree/26512666/buy
30857153,DIVASTRI,Woven Design Banarasi Silk Blend Saree,Rs. 595,Rs. 5959,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/7/55lX1iJh_1dd194b904974850bd3d654c1e30b54b.jpg",https://www.myntra.com/sarees/divastri/divastri-woven-design-zari-silk-blend-banarasi-saree/30857153/buy
29079950,KULNAARI,Woven Design Kanjeevaram Saree,Rs. 549,Rs. 5499,3.5,11,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29079950/2024/4/19/aaa373e2-43f0-4201-a584-7e2e365a68cd1713547375435MiteraPartywearsaree1.jpg",https://www.myntra.com/sarees/kulnaari/kulnaari-ethnic-motifs-woven-design-kanjeevaram-saree/29079950/buy
28719908,ROOP SUNDARI SAREES,Floral Pure Georgette Saree,Rs. 999,Rs. 9999,3.2,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28719908/2024/4/6/5edf29ab-6c2d-4baa-a4fc-defa0e69648f1712369002799Sarees1.jpg",https://www.myntra.com/sarees/roop+sundari+sarees/roop-sundari-sarees-floral-printed-pure-georgette-saree/28719908/buy
28486388,SANSKAR,Ethnic Motifs Cotton Saree,Rs. 999,Rs. 9990,3.8,95,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28486388/2024/3/24/9655f926-d528-488d-b9a1-8d1908a318561711277678001SANSKARBlackCottonLeafZariBorderedPrintedSaree1.jpg",https://www.myntra.com/sarees/sanskar/sanskar-ethnic-motifs-printed-zari-cotton-saree/28486388/buy
26512672,Mitera,Embellished Satin Saree,Rs. 1198,Rs. 11983,4.4,11,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26512672/2023/12/19/6feed073-e676-4ce2-96db-9c1b0937940d1702972484437MiteraGreenEmbellishedBeadsandStonesSatinDesignerSaree1.jpg",https://www.myntra.com/sarees/mitera/mitera-green-embellished-satin-designer-saree/26512672/buy
24203222,DIVASTRI,Zari Banarasi Saree,Rs. 986,Rs. 9869,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24203222/2023/7/27/8d37ec35-e117-415e-b358-55b4578fcc011690399910891DIVASTRIGreyRedWovenDesignZariArtSilkBanarasiSaree1.jpg",https://www.myntra.com/sarees/divastri/divastri-floral-woven-design-zari-banarasi-saree/24203222/buy
17483302,VAIRAGEE,Floral Print Organza Saree,Rs. 950,Rs. 9500,4,12,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17483302/2022/5/12/98eda859-6a64-41d1-94d2-99bffadb41fe1652355120443-VAIRAGEE-Maroon-Floral-Print-Organza-Saree-6421652355119987-1.jpg",https://www.myntra.com/sarees/vairagee/vairagee-maroon-floral-print-organza-saree/17483302/buy
30015737,Upalksh,Woven Design Banarasi Saree,Rs. 1895,Rs. 18950,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30015737/2024/6/22/fedaf4e9-e6c7-44fe-97ec-5ad1367b7fff1719024617021UpalkshWovenDesignZariBanarasiSaree1.jpg",https://www.myntra.com/sarees/upalksh/upalksh-woven-design-zari-banarasi-saree/30015737/buy
30873332,Kriyansh,Woven Design Kanjeevaram Saree,Rs. 1854,Rs. 18549,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/9/pjIH4KuU_d584f5fe1a284c5d9de503d520f11fb6.jpg",https://www.myntra.com/sarees/kriyansh/kriyansh-floral-zari-woven-design-kanjeevaram-saree/30873332/buy
28870456,Mitera,Printed Bandhani Saree,Rs. 899,Rs. 8999,3,9,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28870456/2024/4/11/6ac34171-ca32-49e7-845c-a253b2f3b2e71712840838119PinkGeorgetteBandhaniSareeWithUnstitchedBlousePiece1.jpg",https://www.myntra.com/sarees/mitera/mitera-pink-printed-bandhani-saree/28870456/buy
